@relation travelia_reco_activite
@attribute month numeric
@attribute price_bucket {cheap,medium,high}
@attribute duration_bucket {short,medium,long}
@attribute lieu {alberta__canada,arizona__états-unis,arusha__tanzanie,bali__indonésie,bangkok__thaïlande,barcelone__espagne,bizerte__tunisie,cairns__australie,cappadoce__turquie,chamonix__france,chiang_mai__thaïlande,djerba__tunisie,florence__italie,foz_do_iguaçu__brésil,gabès__tunisie,galápagos__équateur,geiranger__norvège,grenade__espagne,hakone__japon,hammamet__tunisie,hoi_an__vietnam,húsavík__islande,interlaken__suisse,istanbul__turquie,jendouba__tunisie,kyoto__japon,le_caire__égypte,louxor__égypte,madrid__espagne,marrakech__maroc,monteverde__costa_rica,nabeul__tunisie,népal,paris__france,petra__jordanie,reykjavik__islande,rome__italie,san_josé__costa_rica,sfax__tunisie,sousse__tunisie,tabarka__tunisie,tokyo__japon,tozeur__tunisie,tromsø__norvège,tunis__tunisie,ubud__indonésie,yakushima__japon,zaghouan__tunisie}
@attribute last_category {aventure,culture,détente,gastronomie,nature,sport,none}
@attribute target_category {aventure,culture,détente,gastronomie,nature,sport}
@data
11,medium,medium,rome__italie,culture,culture
12,medium,medium,rome__italie,détente,culture
1,cheap,medium,grenade__espagne,none,culture
2,cheap,medium,grenade__espagne,culture,culture
3,cheap,medium,grenade__espagne,aventure,culture
4,cheap,medium,grenade__espagne,none,culture
5,cheap,medium,grenade__espagne,culture,culture
6,cheap,medium,grenade__espagne,aventure,culture
7,cheap,medium,grenade__espagne,none,culture
8,cheap,medium,grenade__espagne,culture,culture
9,cheap,medium,grenade__espagne,culture,culture
10,cheap,medium,grenade__espagne,none,culture
11,cheap,medium,grenade__espagne,culture,culture
12,cheap,medium,grenade__espagne,sport,culture
1,medium,medium,le_caire__égypte,none,culture
2,medium,medium,le_caire__égypte,culture,culture
3,medium,medium,le_caire__égypte,détente,culture
4,medium,medium,le_caire__égypte,none,culture
5,medium,medium,le_caire__égypte,culture,culture
6,medium,medium,le_caire__égypte,culture,culture
7,medium,medium,le_caire__égypte,none,culture
8,medium,medium,le_caire__égypte,culture,culture
9,medium,medium,le_caire__égypte,détente,culture
10,medium,medium,le_caire__égypte,none,culture
11,medium,medium,le_caire__égypte,culture,culture
12,medium,medium,le_caire__égypte,gastronomie,culture
1,medium,medium,kyoto__japon,none,culture
2,medium,medium,kyoto__japon,culture,culture
3,medium,medium,kyoto__japon,sport,culture
4,medium,medium,kyoto__japon,none,culture
5,medium,medium,kyoto__japon,culture,culture
6,medium,medium,kyoto__japon,gastronomie,culture
7,medium,medium,kyoto__japon,none,culture
8,medium,medium,kyoto__japon,culture,culture
9,medium,medium,kyoto__japon,nature,culture
10,medium,medium,kyoto__japon,none,culture
11,medium,medium,kyoto__japon,culture,culture
12,medium,medium,kyoto__japon,nature,culture
1,cheap,short,tunis__tunisie,none,culture
2,cheap,short,tunis__tunisie,culture,culture
3,cheap,short,tunis__tunisie,culture,culture
4,cheap,short,tunis__tunisie,none,culture
5,cheap,short,tunis__tunisie,culture,culture
6,cheap,short,tunis__tunisie,aventure,culture
7,cheap,short,tunis__tunisie,none,culture
8,cheap,short,tunis__tunisie,culture,culture
9,cheap,short,tunis__tunisie,nature,culture
10,cheap,short,tunis__tunisie,none,culture
11,cheap,short,tunis__tunisie,culture,culture
12,cheap,short,tunis__tunisie,aventure,culture
1,medium,long,petra__jordanie,none,culture
2,medium,long,petra__jordanie,culture,culture
3,medium,long,petra__jordanie,détente,culture
4,medium,long,petra__jordanie,none,culture
5,medium,long,petra__jordanie,culture,culture
6,medium,long,petra__jordanie,sport,culture
7,medium,long,petra__jordanie,none,culture
8,medium,long,petra__jordanie,culture,culture
9,medium,long,petra__jordanie,sport,culture
10,medium,long,petra__jordanie,none,culture
11,medium,long,petra__jordanie,culture,culture
12,medium,long,petra__jordanie,sport,culture
1,medium,short,barcelone__espagne,none,culture
2,medium,short,barcelone__espagne,culture,culture
3,medium,short,barcelone__espagne,aventure,culture
4,medium,short,barcelone__espagne,none,culture
5,medium,short,barcelone__espagne,culture,culture
6,medium,short,barcelone__espagne,culture,culture
7,medium,short,barcelone__espagne,none,culture
8,medium,short,barcelone__espagne,culture,culture
9,medium,short,barcelone__espagne,culture,culture
10,medium,short,barcelone__espagne,none,culture
11,medium,short,barcelone__espagne,culture,culture
12,medium,short,barcelone__espagne,aventure,culture
1,medium,medium,tunis__tunisie,none,gastronomie
2,medium,medium,tunis__tunisie,gastronomie,gastronomie
3,medium,medium,tunis__tunisie,sport,gastronomie
4,medium,medium,tunis__tunisie,none,gastronomie
5,medium,medium,tunis__tunisie,gastronomie,gastronomie
6,medium,medium,tunis__tunisie,culture,gastronomie
7,medium,medium,tunis__tunisie,none,gastronomie
8,medium,medium,tunis__tunisie,gastronomie,gastronomie
9,medium,medium,tunis__tunisie,sport,gastronomie
10,medium,medium,tunis__tunisie,none,gastronomie
11,medium,medium,tunis__tunisie,gastronomie,gastronomie
12,medium,medium,tunis__tunisie,culture,gastronomie
1,medium,medium,bangkok__thaïlande,none,gastronomie
2,medium,medium,bangkok__thaïlande,gastronomie,gastronomie
3,medium,medium,bangkok__thaïlande,sport,gastronomie
4,medium,medium,bangkok__thaïlande,none,gastronomie
5,medium,medium,bangkok__thaïlande,gastronomie,gastronomie
6,medium,medium,bangkok__thaïlande,aventure,gastronomie
7,medium,medium,bangkok__thaïlande,none,gastronomie
8,medium,medium,bangkok__thaïlande,gastronomie,gastronomie
9,medium,medium,bangkok__thaïlande,culture,gastronomie
10,medium,medium,bangkok__thaïlande,none,gastronomie
11,medium,medium,bangkok__thaïlande,gastronomie,gastronomie
12,medium,medium,bangkok__thaïlande,sport,gastronomie
1,medium,medium,madrid__espagne,none,gastronomie
2,medium,medium,madrid__espagne,gastronomie,gastronomie
3,medium,medium,madrid__espagne,culture,gastronomie
4,medium,medium,madrid__espagne,none,gastronomie
5,medium,medium,madrid__espagne,gastronomie,gastronomie
6,medium,medium,madrid__espagne,culture,gastronomie
7,medium,medium,madrid__espagne,none,gastronomie
8,medium,medium,madrid__espagne,gastronomie,gastronomie
9,medium,medium,madrid__espagne,culture,gastronomie
10,medium,medium,madrid__espagne,none,gastronomie
11,medium,medium,madrid__espagne,gastronomie,gastronomie
12,medium,medium,madrid__espagne,détente,gastronomie
1,medium,medium,rome__italie,none,gastronomie
2,medium,medium,rome__italie,gastronomie,gastronomie
3,medium,medium,rome__italie,détente,gastronomie
4,medium,medium,rome__italie,none,gastronomie
5,medium,medium,rome__italie,gastronomie,gastronomie
6,medium,medium,rome__italie,nature,gastronomie
7,medium,medium,rome__italie,none,gastronomie
8,medium,medium,rome__italie,gastronomie,gastronomie
9,medium,medium,rome__italie,détente,gastronomie
10,medium,medium,rome__italie,none,gastronomie
11,medium,medium,rome__italie,gastronomie,gastronomie
12,medium,medium,rome__italie,nature,gastronomie
1,medium,medium,nabeul__tunisie,none,gastronomie
2,medium,medium,nabeul__tunisie,gastronomie,gastronomie
3,medium,medium,nabeul__tunisie,culture,gastronomie
4,medium,medium,nabeul__tunisie,none,gastronomie
5,medium,medium,nabeul__tunisie,gastronomie,gastronomie
6,medium,medium,nabeul__tunisie,culture,gastronomie
7,medium,medium,nabeul__tunisie,none,gastronomie
8,medium,medium,nabeul__tunisie,gastronomie,gastronomie
9,medium,medium,nabeul__tunisie,gastronomie,gastronomie
10,medium,medium,nabeul__tunisie,none,gastronomie
11,medium,medium,nabeul__tunisie,gastronomie,gastronomie
12,medium,medium,nabeul__tunisie,gastronomie,gastronomie
1,medium,medium,marrakech__maroc,none,gastronomie
2,medium,medium,marrakech__maroc,gastronomie,gastronomie
3,medium,medium,marrakech__maroc,culture,gastronomie
4,medium,medium,marrakech__maroc,none,gastronomie
5,medium,medium,marrakech__maroc,gastronomie,gastronomie
6,medium,medium,marrakech__maroc,sport,gastronomie
7,medium,medium,marrakech__maroc,none,gastronomie
8,medium,medium,marrakech__maroc,gastronomie,gastronomie
9,medium,medium,marrakech__maroc,détente,gastronomie
10,medium,medium,marrakech__maroc,none,gastronomie
11,medium,medium,marrakech__maroc,gastronomie,gastronomie
12,medium,medium,marrakech__maroc,culture,gastronomie
1,medium,medium,tokyo__japon,none,gastronomie
2,medium,medium,tokyo__japon,gastronomie,gastronomie
3,medium,medium,tokyo__japon,détente,gastronomie
4,medium,medium,tokyo__japon,none,gastronomie
5,medium,medium,tokyo__japon,gastronomie,gastronomie
6,medium,medium,tokyo__japon,détente,gastronomie
7,medium,medium,tokyo__japon,none,gastronomie
8,medium,medium,tokyo__japon,gastronomie,gastronomie
9,medium,medium,tokyo__japon,détente,gastronomie
10,medium,medium,tokyo__japon,none,gastronomie
11,medium,medium,tokyo__japon,gastronomie,gastronomie
12,medium,medium,tokyo__japon,culture,gastronomie
1,high,long,florence__italie,none,gastronomie
2,high,long,florence__italie,gastronomie,gastronomie
3,high,long,florence__italie,gastronomie,gastronomie
4,high,long,florence__italie,none,gastronomie
5,high,long,florence__italie,gastronomie,gastronomie
6,high,long,florence__italie,gastronomie,gastronomie
7,high,long,florence__italie,none,gastronomie
8,high,long,florence__italie,gastronomie,gastronomie
9,high,long,florence__italie,nature,gastronomie
10,high,long,florence__italie,none,gastronomie
11,high,long,florence__italie,gastronomie,gastronomie
12,high,long,florence__italie,sport,gastronomie
1,cheap,medium,istanbul__turquie,none,gastronomie
2,cheap,medium,istanbul__turquie,gastronomie,gastronomie
3,cheap,medium,istanbul__turquie,culture,gastronomie
4,cheap,medium,istanbul__turquie,none,gastronomie
5,cheap,medium,istanbul__turquie,gastronomie,gastronomie
6,cheap,medium,istanbul__turquie,culture,gastronomie
7,cheap,medium,istanbul__turquie,none,gastronomie
8,cheap,medium,istanbul__turquie,gastronomie,gastronomie
9,cheap,medium,istanbul__turquie,culture,gastronomie
10,cheap,medium,istanbul__turquie,none,gastronomie
11,cheap,medium,istanbul__turquie,gastronomie,gastronomie
12,cheap,medium,istanbul__turquie,sport,gastronomie
1,medium,medium,paris__france,none,gastronomie
2,medium,medium,paris__france,gastronomie,gastronomie
3,medium,medium,paris__france,détente,gastronomie
4,medium,medium,paris__france,none,gastronomie
5,medium,medium,paris__france,gastronomie,gastronomie
6,medium,medium,paris__france,nature,gastronomie
7,medium,medium,paris__france,none,gastronomie
8,medium,medium,paris__france,gastronomie,gastronomie
9,medium,medium,paris__france,sport,gastronomie
10,medium,medium,paris__france,none,gastronomie
11,medium,medium,paris__france,gastronomie,gastronomie
12,medium,medium,paris__france,gastronomie,gastronomie
1,medium,medium,tabarka__tunisie,none,sport
2,medium,medium,tabarka__tunisie,sport,sport
3,medium,medium,tabarka__tunisie,aventure,sport
4,medium,medium,tabarka__tunisie,none,sport
5,medium,medium,tabarka__tunisie,sport,sport
6,medium,medium,tabarka__tunisie,nature,sport
7,medium,medium,tabarka__tunisie,none,sport
8,medium,medium,tabarka__tunisie,sport,sport
9,medium,medium,tabarka__tunisie,sport,sport
10,medium,medium,tabarka__tunisie,none,sport
11,medium,medium,tabarka__tunisie,sport,sport
12,medium,medium,tabarka__tunisie,détente,sport
1,medium,short,bali__indonésie,none,sport
2,medium,short,bali__indonésie,sport,sport
3,medium,short,bali__indonésie,culture,sport
4,medium,short,bali__indonésie,none,sport
5,medium,short,bali__indonésie,sport,sport
6,medium,short,bali__indonésie,gastronomie,sport
7,medium,short,bali__indonésie,none,sport
8,medium,short,bali__indonésie,sport,sport
9,medium,short,bali__indonésie,gastronomie,sport
10,medium,short,bali__indonésie,none,sport
11,medium,short,bali__indonésie,sport,sport
12,medium,short,bali__indonésie,aventure,sport
1,medium,medium,zaghouan__tunisie,none,sport
2,medium,medium,zaghouan__tunisie,sport,sport
3,medium,medium,zaghouan__tunisie,détente,sport
4,medium,medium,zaghouan__tunisie,none,sport
5,medium,medium,zaghouan__tunisie,sport,sport
6,medium,medium,zaghouan__tunisie,culture,sport
7,medium,medium,zaghouan__tunisie,none,sport
8,medium,medium,zaghouan__tunisie,sport,sport
9,medium,medium,zaghouan__tunisie,gastronomie,sport
10,medium,medium,zaghouan__tunisie,none,sport
11,medium,medium,zaghouan__tunisie,sport,sport
12,medium,medium,zaghouan__tunisie,aventure,sport
1,high,long,chamonix__france,none,sport
2,high,long,chamonix__france,sport,sport
3,high,long,chamonix__france,gastronomie,sport
4,high,long,chamonix__france,none,sport
5,high,long,chamonix__france,sport,sport
6,high,long,chamonix__france,gastronomie,sport
7,high,long,chamonix__france,none,sport
8,high,long,chamonix__france,sport,sport
9,high,long,chamonix__france,sport,sport
10,high,long,chamonix__france,none,sport
11,high,long,chamonix__france,sport,sport
12,high,long,chamonix__france,gastronomie,sport
1,medium,short,hammamet__tunisie,none,sport
2,medium,short,hammamet__tunisie,sport,sport
3,medium,short,hammamet__tunisie,gastronomie,sport
4,medium,short,hammamet__tunisie,none,sport
5,medium,short,hammamet__tunisie,sport,sport
6,medium,short,hammamet__tunisie,aventure,sport
7,medium,short,hammamet__tunisie,none,sport
8,medium,short,hammamet__tunisie,sport,sport
9,medium,short,hammamet__tunisie,détente,sport
10,medium,short,hammamet__tunisie,none,sport
11,medium,short,hammamet__tunisie,sport,sport
12,medium,short,hammamet__tunisie,nature,sport
1,high,medium,cairns__australie,none,sport
2,high,medium,cairns__australie,sport,sport
3,high,medium,cairns__australie,aventure,sport
4,high,medium,cairns__australie,none,sport
5,high,medium,cairns__australie,sport,sport
6,high,medium,cairns__australie,nature,sport
7,high,medium,cairns__australie,none,sport
8,high,medium,cairns__australie,sport,sport
9,high,medium,cairns__australie,aventure,sport
10,high,medium,cairns__australie,none,sport
11,high,medium,cairns__australie,sport,sport
12,high,medium,cairns__australie,culture,sport
1,high,long,népal,none,sport
2,high,long,népal,sport,sport
3,high,long,népal,sport,sport
4,high,long,népal,none,sport
5,high,long,népal,sport,sport
6,high,long,népal,culture,sport
7,high,long,népal,none,sport
8,high,long,népal,sport,sport
9,high,long,népal,gastronomie,sport
10,high,long,népal,none,sport
11,high,long,népal,sport,sport
12,high,long,népal,détente,sport
1,medium,short,djerba__tunisie,none,sport
2,medium,short,djerba__tunisie,sport,sport
3,medium,short,djerba__tunisie,culture,sport
4,medium,short,djerba__tunisie,none,sport
5,medium,short,djerba__tunisie,sport,sport
6,medium,short,djerba__tunisie,détente,sport
7,medium,short,djerba__tunisie,none,sport
8,medium,short,djerba__tunisie,sport,sport
9,medium,short,djerba__tunisie,détente,sport
10,medium,short,djerba__tunisie,none,sport
11,medium,short,djerba__tunisie,sport,sport
12,medium,short,djerba__tunisie,nature,sport
1,cheap,medium,hoi_an__vietnam,none,sport
2,cheap,medium,hoi_an__vietnam,sport,sport
3,cheap,medium,hoi_an__vietnam,gastronomie,sport
4,cheap,medium,hoi_an__vietnam,none,sport
5,cheap,medium,hoi_an__vietnam,sport,sport
6,cheap,medium,hoi_an__vietnam,culture,sport
7,cheap,medium,hoi_an__vietnam,none,sport
8,cheap,medium,hoi_an__vietnam,sport,sport
9,cheap,medium,hoi_an__vietnam,gastronomie,sport
10,cheap,medium,hoi_an__vietnam,none,sport
11,cheap,medium,hoi_an__vietnam,sport,sport
12,cheap,medium,hoi_an__vietnam,aventure,sport
1,high,medium,sousse__tunisie,none,sport
2,high,medium,sousse__tunisie,sport,sport
3,high,medium,sousse__tunisie,nature,sport
4,high,medium,sousse__tunisie,none,sport
5,high,medium,sousse__tunisie,sport,sport
6,high,medium,sousse__tunisie,culture,sport
7,high,medium,sousse__tunisie,none,sport
8,high,medium,sousse__tunisie,sport,sport
9,high,medium,sousse__tunisie,détente,sport
10,high,medium,sousse__tunisie,none,sport
11,high,medium,sousse__tunisie,sport,sport
12,high,medium,sousse__tunisie,gastronomie,sport
1,high,long,tozeur__tunisie,none,aventure
2,high,long,tozeur__tunisie,aventure,aventure
3,high,long,tozeur__tunisie,aventure,aventure
4,high,long,tozeur__tunisie,none,aventure
5,high,long,tozeur__tunisie,aventure,aventure
6,high,long,tozeur__tunisie,aventure,aventure
7,high,long,tozeur__tunisie,none,aventure
8,high,long,tozeur__tunisie,aventure,aventure
9,high,long,tozeur__tunisie,détente,aventure
10,high,long,tozeur__tunisie,none,aventure
11,high,long,tozeur__tunisie,aventure,aventure
12,high,long,tozeur__tunisie,culture,aventure
1,high,long,arusha__tanzanie,none,aventure
2,high,long,arusha__tanzanie,aventure,aventure
3,high,long,arusha__tanzanie,détente,aventure
4,high,long,arusha__tanzanie,none,aventure
5,high,long,arusha__tanzanie,aventure,aventure
6,high,long,arusha__tanzanie,aventure,aventure
7,high,long,arusha__tanzanie,none,aventure
8,high,long,arusha__tanzanie,aventure,aventure
9,high,long,arusha__tanzanie,nature,aventure
10,high,long,arusha__tanzanie,none,aventure
11,high,long,arusha__tanzanie,aventure,aventure
12,high,long,arusha__tanzanie,gastronomie,aventure
1,high,short,cappadoce__turquie,none,aventure
2,high,short,cappadoce__turquie,aventure,aventure
3,high,short,cappadoce__turquie,culture,aventure
4,high,short,cappadoce__turquie,none,aventure
5,high,short,cappadoce__turquie,aventure,aventure
6,high,short,cappadoce__turquie,nature,aventure
7,high,short,cappadoce__turquie,none,aventure
8,high,short,cappadoce__turquie,aventure,aventure
9,high,short,cappadoce__turquie,nature,aventure
10,high,short,cappadoce__turquie,none,aventure
11,high,short,cappadoce__turquie,aventure,aventure
12,high,short,cappadoce__turquie,détente,aventure
1,medium,medium,gabès__tunisie,none,aventure
2,medium,medium,gabès__tunisie,aventure,aventure
3,medium,medium,gabès__tunisie,nature,aventure
4,medium,medium,gabès__tunisie,none,aventure
5,medium,medium,gabès__tunisie,aventure,aventure
6,medium,medium,gabès__tunisie,nature,aventure
7,medium,medium,gabès__tunisie,none,aventure
8,medium,medium,gabès__tunisie,aventure,aventure
9,medium,medium,gabès__tunisie,aventure,aventure
10,medium,medium,gabès__tunisie,none,aventure
11,medium,medium,gabès__tunisie,aventure,aventure
12,medium,medium,gabès__tunisie,détente,aventure
1,medium,medium,san_josé__costa_rica,none,aventure
2,medium,medium,san_josé__costa_rica,aventure,aventure
3,medium,medium,san_josé__costa_rica,gastronomie,aventure
4,medium,medium,san_josé__costa_rica,none,aventure
5,medium,medium,san_josé__costa_rica,aventure,aventure
6,medium,medium,san_josé__costa_rica,détente,aventure
7,medium,medium,san_josé__costa_rica,none,aventure
8,medium,medium,san_josé__costa_rica,aventure,aventure
9,medium,medium,san_josé__costa_rica,sport,aventure
10,medium,medium,san_josé__costa_rica,none,aventure
11,medium,medium,san_josé__costa_rica,aventure,aventure
12,medium,medium,san_josé__costa_rica,culture,aventure
1,high,short,interlaken__suisse,none,aventure
2,high,short,interlaken__suisse,aventure,aventure
3,high,short,interlaken__suisse,sport,aventure
4,high,short,interlaken__suisse,none,aventure
5,high,short,interlaken__suisse,aventure,aventure
6,high,short,interlaken__suisse,sport,aventure
7,high,short,interlaken__suisse,none,aventure
8,high,short,interlaken__suisse,aventure,aventure
9,high,short,interlaken__suisse,culture,aventure
10,high,short,interlaken__suisse,none,aventure
11,high,short,interlaken__suisse,aventure,aventure
12,high,short,interlaken__suisse,sport,aventure
1,high,long,tozeur__tunisie,none,aventure
2,high,long,tozeur__tunisie,aventure,aventure
3,high,long,tozeur__tunisie,détente,aventure
4,high,long,tozeur__tunisie,none,aventure
5,high,long,tozeur__tunisie,aventure,aventure
6,high,long,tozeur__tunisie,sport,aventure
7,high,long,tozeur__tunisie,none,aventure
8,high,long,tozeur__tunisie,aventure,aventure
9,high,long,tozeur__tunisie,aventure,aventure
10,high,long,tozeur__tunisie,none,aventure
11,high,long,tozeur__tunisie,aventure,aventure
12,high,long,tozeur__tunisie,sport,aventure
1,high,long,louxor__égypte,none,aventure
2,high,long,louxor__égypte,aventure,aventure
3,high,long,louxor__égypte,culture,aventure
4,high,long,louxor__égypte,none,aventure
5,high,long,louxor__égypte,aventure,aventure
6,high,long,louxor__égypte,sport,aventure
7,high,long,louxor__égypte,none,aventure
8,high,long,louxor__égypte,aventure,aventure
9,high,long,louxor__égypte,nature,aventure
10,high,long,louxor__égypte,none,aventure
11,high,long,louxor__égypte,aventure,aventure
12,high,long,louxor__égypte,sport,aventure
1,medium,short,monteverde__costa_rica,none,aventure
2,medium,short,monteverde__costa_rica,aventure,aventure
3,medium,short,monteverde__costa_rica,sport,aventure
4,medium,short,monteverde__costa_rica,none,aventure
5,medium,short,monteverde__costa_rica,aventure,aventure
6,medium,short,monteverde__costa_rica,gastronomie,aventure
7,medium,short,monteverde__costa_rica,none,aventure
8,medium,short,monteverde__costa_rica,aventure,aventure
9,medium,short,monteverde__costa_rica,culture,aventure
10,medium,short,monteverde__costa_rica,none,aventure
11,medium,short,monteverde__costa_rica,aventure,aventure
12,medium,short,monteverde__costa_rica,culture,aventure
1,high,long,arizona__états-unis,none,aventure
2,high,long,arizona__états-unis,aventure,aventure
3,high,long,arizona__états-unis,détente,aventure
4,high,long,arizona__états-unis,none,aventure
5,high,long,arizona__états-unis,aventure,aventure
6,high,long,arizona__états-unis,sport,aventure
7,high,long,arizona__états-unis,none,aventure
8,high,long,arizona__états-unis,aventure,aventure
9,high,long,arizona__états-unis,détente,aventure
10,high,long,arizona__états-unis,none,aventure
11,high,long,arizona__états-unis,aventure,aventure
12,high,long,arizona__états-unis,gastronomie,aventure
1,cheap,medium,bizerte__tunisie,none,nature
2,cheap,medium,bizerte__tunisie,nature,nature
3,cheap,medium,bizerte__tunisie,nature,nature
4,cheap,medium,bizerte__tunisie,none,nature
5,cheap,medium,bizerte__tunisie,nature,nature
6,cheap,medium,bizerte__tunisie,aventure,nature
7,cheap,medium,bizerte__tunisie,none,nature
8,cheap,medium,bizerte__tunisie,nature,nature
9,cheap,medium,bizerte__tunisie,détente,nature
10,cheap,medium,bizerte__tunisie,none,nature
11,cheap,medium,bizerte__tunisie,nature,nature
12,cheap,medium,bizerte__tunisie,détente,nature
1,medium,medium,geiranger__norvège,none,nature
2,medium,medium,geiranger__norvège,nature,nature
3,medium,medium,geiranger__norvège,culture,nature
4,medium,medium,geiranger__norvège,none,nature
5,medium,medium,geiranger__norvège,nature,nature
6,medium,medium,geiranger__norvège,aventure,nature
7,medium,medium,geiranger__norvège,none,nature
8,medium,medium,geiranger__norvège,nature,nature
9,medium,medium,geiranger__norvège,détente,nature
10,medium,medium,geiranger__norvège,none,nature
11,medium,medium,geiranger__norvège,nature,nature
12,medium,medium,geiranger__norvège,gastronomie,nature
1,medium,medium,foz_do_iguaçu__brésil,none,nature
2,medium,medium,foz_do_iguaçu__brésil,nature,nature
3,medium,medium,foz_do_iguaçu__brésil,sport,nature
4,medium,medium,foz_do_iguaçu__brésil,none,nature
5,medium,medium,foz_do_iguaçu__brésil,nature,nature
6,medium,medium,foz_do_iguaçu__brésil,culture,nature
7,medium,medium,foz_do_iguaçu__brésil,none,nature
8,medium,medium,foz_do_iguaçu__brésil,nature,nature
9,medium,medium,foz_do_iguaçu__brésil,détente,nature
10,medium,medium,foz_do_iguaçu__brésil,none,nature
11,medium,medium,foz_do_iguaçu__brésil,nature,nature
12,medium,medium,foz_do_iguaçu__brésil,détente,nature
1,high,medium,húsavík__islande,none,nature
2,high,medium,húsavík__islande,nature,nature
3,high,medium,húsavík__islande,gastronomie,nature
4,high,medium,húsavík__islande,none,nature
5,high,medium,húsavík__islande,nature,nature
6,high,medium,húsavík__islande,aventure,nature
7,high,medium,húsavík__islande,none,nature
8,high,medium,húsavík__islande,nature,nature
9,high,medium,húsavík__islande,nature,nature
10,high,medium,húsavík__islande,none,nature
11,high,medium,húsavík__islande,nature,nature
12,high,medium,húsavík__islande,gastronomie,nature
1,cheap,medium,jendouba__tunisie,none,nature
2,cheap,medium,jendouba__tunisie,nature,nature
3,cheap,medium,jendouba__tunisie,aventure,nature
4,cheap,medium,jendouba__tunisie,none,nature
5,cheap,medium,jendouba__tunisie,nature,nature
6,cheap,medium,jendouba__tunisie,aventure,nature
7,cheap,medium,jendouba__tunisie,none,nature
8,cheap,medium,jendouba__tunisie,nature,nature
9,cheap,medium,jendouba__tunisie,culture,nature
10,cheap,medium,jendouba__tunisie,none,nature
11,cheap,medium,jendouba__tunisie,nature,nature
12,cheap,medium,jendouba__tunisie,nature,nature
1,medium,long,alberta__canada,none,nature
2,medium,long,alberta__canada,nature,nature
3,medium,long,alberta__canada,détente,nature
4,medium,long,alberta__canada,none,nature
5,medium,long,alberta__canada,nature,nature
6,medium,long,alberta__canada,culture,nature
7,medium,long,alberta__canada,none,nature
8,medium,long,alberta__canada,nature,nature
9,medium,long,alberta__canada,détente,nature
10,medium,long,alberta__canada,none,nature
11,medium,long,alberta__canada,nature,nature
12,medium,long,alberta__canada,culture,nature
1,high,long,galápagos__équateur,none,nature
2,high,long,galápagos__équateur,nature,nature
